HP_ID,Model_ID,tweedie_variance_power/default,tweedie_variance_power/actual,tweedie_link_power/default,tweedie_link_power/actual,alpha/default,alpha/actual/0,lambda/default,lambda/actual/0,standardize/default,standardize/actual,missing_values_handling/default,missing_values_handling/actual,balance_classes/default,balance_classes/actual,class_sampling_factors/default,class_sampling_factors/actual,max_after_balance_size/default,max_after_balance_size/actual,ntrees/default,ntrees/actual,max_depth/default,max_depth/actual,min_rows/default,min_rows/actual,nbins/default,nbins/actual,nbins_top_level/default,nbins_top_level/actual,nbins_cats/default,nbins_cats/actual,stopping_rounds/default,stopping_rounds/actual,stopping_metric/default,stopping_metric/actual,stopping_tolerance/default,stopping_tolerance/actual,max_runtime_secs/default,max_runtime_secs/actual,seed/default,seed/actual,learn_rate_annealing/default,learn_rate_annealing/actual,distribution/default,distribution/actual,quantile_alpha/default,quantile_alpha/actual,tweedie_power/default,tweedie_power/actual,huber_alpha/default,huber_alpha/actual,sample_rate/default,sample_rate/actual,sample_rate_per_class/default,sample_rate_per_class/actual,col_sample_rate/default,col_sample_rate/actual,col_sample_rate_change_per_level/default,col_sample_rate_change_per_level/actual,col_sample_rate_per_tree/default,col_sample_rate_per_tree/actual,min_split_improvement/default,min_split_improvement/actual,histogram_type/default,histogram_type/actual,max_abs_leafnode_pred/default,max_abs_leafnode_pred/actual,pred_noise_bandwidth/default,pred_noise_bandwidth/actual,categorical_encoding/default,categorical_encoding/actual
11,11,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,14,10,15,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,6.5664E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.5,,,1,1,1,1,1,0.4,0.00001,0.0001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,4.89748E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
14,14,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472,0,0,-1,4.89748E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
15,15,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,4.89748E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
16,16,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,4.89748E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
17,17,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,4.89748E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,0,0,1,1,,0,,10.26311177,TRUE,TRUE,MeanImputation,MeanImputation,FALSE,FALSE,,,5,5,,,,,,,,,,,,,,,,,,,0,11.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,,,,,,,,,,,,,FALSE,FALSE,,,5,5,,,20,20,1,1,20,20,1024,1024,1024,1024,0,0,AUTO,AUTO,0.001,0.004472091,0,0,-1,9.02767E+18,,,AUTO,multinomial,,,,,,,0.632000029,0.632000029,,,,,1,1,1,1,0.00001,0.00001,AUTO,AUTO,,,,,AUTO,AUTO
24,24,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,25,5,17,10,10,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,1.54444E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.7,,,1,0.4,1,1,1,0.7,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,8.62699E+17,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
27,27,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,8.62699E+17,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
28,28,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,8.62699E+17,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,8.62699E+17,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
31,31,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,8.62699E+17,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,16,10,5,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,7.90708E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,1,1,1,1,0.4,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,0,0,1,1,,0,,10.26311177,TRUE,TRUE,MeanImputation,MeanImputation,FALSE,FALSE,,,5,5,,,,,,,,,,,,,,,,,,,0,18.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,123,5,10,10,10,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,-2.23097E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.9,,,1,0.7,1,1,1,0.4,0.00001,0.0001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
39,39,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,115,5,8,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,5.43482E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.5,,,1,1,1,1,1,0.4,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,102,5,12,10,10,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,3.33953E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.5,,,1,1,1,1,1,0.4,0.00001,0.0001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
42,42,,,,,,,,,,,,,FALSE,FALSE,,,5,5,,,20,20,1,1,20,20,1024,1024,1024,1024,0,0,AUTO,AUTO,0.001,0.004472091,0,0,-1,-1.58958E+15,,,AUTO,multinomial,,,,,,,0.632000029,0.632000029,,,,,1,1,1,1,0.00001,0.00001,AUTO,AUTO,,,,,AUTO,AUTO
43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,40,5,11,10,10,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,5.16072E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.9,,,1,0.4,1,1,1,0.7,0.00001,0.0001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
46,46,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,6.20867E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
47,47,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,6.20867E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
48,48,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,6.20867E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
49,49,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,6.20867E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
50,50,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,15,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,6.20867E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.8,,,1,0.8,1,1,1,0.8,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,30,5,12,10,15,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,5.17822E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.9,,,1,0.4,1,1,1,1,0.00001,0.0001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
53,53,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,9,5,15,10,1,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,-2.49489E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.5,,,1,0.7,1,1,1,0.7,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
